ID,1M_BA,2M_BA,3M_BA,4M_BA,5M_BA,6M_BA,default payment in Jan 2022
X000001,3857,3176,605,0,0,0,0
X000002,2634,1763,2707,3183,3429,3170,1
X000003,29319,14076,13546,14373,15004,15558,0
X000004,46925,48279,49337,28236,28977,29641,0
X000005,8542,5573,35888,20951,19194,19116,0
X000006,64483,57099,57686,19410,19668,20042,0
X000007,367934,411957,445103,542556,483008,473876,0
X000008,11869,334,514,277,-208,626,0
X000009,11292,14060,12105,12247,11744,3660,0
X000010,0,0,0,0,13106,13865,0
X000011,11050,9703,5448,2592,1813,3705,0
X000012,12331,21623,9870,8591,22267,13745,0
X000013,12175,6547,6481,6491,6455,2879,0
X000014,65884,67463,65660,66692,36122,36970,1
X000015,70892,67158,63639,59724,56923,55424,0
X000016,50575,29219,28059,28747,29462,30143,0
X000017,15317,18002,17348,18257,17986,19109,0
X000018,253328,246510,194602,70145,5912,195667,0
X000019,0,0,0,0,0,0,0
X000020,0,0,0,0,0,0,0
X000021,38452,27788,24538,20552,11770,1001,0
X000022,389,376,306,0,594,276,0
X000023,41082,42453,45114,44073,46878,4687.8,0
X000024,5427,19417,1530,610,0,0,1
X000025,4648,7037,0,5315,6319,8325,0
X000026,47572,41858,35976,29065,29739,30073,0
X000027,-48,-449,257,26,185,-226,0
X000028,22523,16104,17177,17832,18935,19582,0
X000029,696,3419,3473,1984,30521,349,0
X000030,15400,16479,17557,17865,18441,11363,0
X000031,16723,17260,13365,15375,14395,36995,0
X000032,30490,29641,22173,22813,23200,23703,1
X000033,93018,84114,82817,80972,78643,75520,0
X000034,10888,4126,22731,7525,71452,9078,0
X000035,13787,5099,31110,3167,0,5218,0
X000036,30363,-213,-434,-938,-1466,-1813,0
X000037,186404,181299,180487,170501,173802,177471,0
X000038,15149,9893,11079,6007,-28323,18682,0
X000039,0,764,0,0,0,0,0
X000040,496,9065,4576,9889,17880,9466,0
X000041,218765,221305,206824,628715,195985,179138,0
X000042,67478,66905,63937,63611,64625,65961,0
X000043,1943,3142,6023,3602,3723,4461,0
X000044,59483,61558,62875,64183,67015,69856,0
X000045,19005,21316,25917,25244,26705,29196,0
X000046,0,0,0,0,0,0,0
X000047,14109,16406,15863,16287,16750,0,0
X000048,4551,3102,1229,1263,0,0,0
X000049,22369,21484,15089,32004,11878,11960,0
X000050,17375,18524,19384,19947,20391,20001,0
X000051,36971,36168,38455,39501,38571,39337,1
X000052,61566,51173,43823,39675,35798,33292,0
X000053,13510,7818,7587,11193,3555,445,0
X000054,41438,41802,42670,43483,44406,45287,0
X000055,46141,34930,31509,26521,20984,16616,0
X000056,1896,3576,181,0,150,2628,0
X000057,16443,15740,8419,7209,-728,8419,0
X000058,175973,173416,172226,168589,132260,129828,0
X000059,1561,1081,784,1113,721,1374,0
X000060,400105,398819,404215,360127,356600,364142,0
X000061,22899,23622,18858,15020,13871,5964.53,0
X000062,70733,72069,69881,16460,14034,732,0
X000063,25077,24203,26496,25957,27729,28341,1
X000064,28644,29089,0,0,0,0,1
X000065,152,0,0,0,2433,0,0
X000066,152559,148835,144089,8146,8221,8013,0
X000067,2106,4143,3974,3969,4259,4328,0
X000070,18525,17121,17382,18133,11151,5888,0
X000071,746,0,346,456,458,427,0
X000072,58356,59231,60151,58713,62404,28705.84,1
X000073,9065,5771,-661,5177,3871,3241,0
X000074,0,0,3171,0,2449,0,0
X000075,3088,5589,23359,4263,80088,25911,0
X000076,14532,17260,16695,16897,17361,18479,0
X000077,42743,37237,36055,9660,9613,9992,0
X000078,328,329,302,251,361,277,0
X000080,0,0,0,0,0,0,1
X000081,165165,157855,162646,69924,29275,29935,0
X000082,23318,27819,30316,33047,179948,201,0
X000083,26314,27528,28199,21973,19936,2192.96,1
