ID,ACCOUNT_TYPE,LIMIT_BAL,GENDER,AGE,MARITAL_STATUS,EDUCATION,JOB_TYPE,HOUSING,LOAN,default payment in Jan 2022
X000001,Current account,20035,Male,23,Married,Secondary school,House help,no,no,0
X000002,Current account,120112,Female,25,Married,Secondary school,Business owner,no,no,1
X000003,Salary account,89683,Female,36,Married,Vocational degree,Technician,yes,no,0
X000004,Salary account,50995,Female,36,Married,Vocational degree,Technician,no,unknown,0
X000005,Current account,50779,Male,59,Married,Secondary school,Part-time,no,no,0
X000006,Current account,50289,Male,39,Married,Middle school,Administration,no,no,0
X000007,Current account,500298,Male,29,Married,Primary school,Administration,no,no,0
X000008,Salary account,99917,Female,22,Married,Vocational degree,Technician,no,yes,0
X000009,Salary account,139599,Female,28,Single,Vocational degree,Services,yes,no,0
X000010,Current account,20510,Male,35,Single,College degree,Management,yes,no,0
X000011,Current account,199356,Female,33,Married,High school,Part-time,no,no,0
X000012,Savings account,260871,Female,50,Single,College degree,Management,yes,no,0
X000013,Current account,630563,Female,42,Single,Primary school,Administration,no,no,0
X000014,Savings account,69896,Male,31,Divorced,Primary school,Administration,yes,no,1
X000015,Salary account,250120,Male,30,Married,Vocational degree,Technician,yes,no,0
X000016,Current account,50400,Female,23,Married,College degree,House help,yes,no,0
X000017,Savings account,19936,Male,22,Married,Primary school,Administration,yes,no,0
X000018,Current account,319281,Male,50,Married,Primary school,Administration,yes,no,0
X000019,Salary account,359357,Female,47,Married,unknown,unknown,yes,yes,0
X000020,Current account,179142,Female,27,Single,Primary school,Administration,no,no,0
X000021,Salary account,130918,Female,39,Married,Vocational degree,Technician,no,no,0
X000022,Salary account,120639,Female,38,Married,Vocational degree,Technician,yes,yes,0
X000023,Salary account,69466,Female,27,Single,High school,Services,yes,no,0
X000024,Salary account,450913,Female,42,Single,Secondary school,Management,yes,no,1
X000025,Current account,90337,Male,22,Married,High school,Business owner,yes,no,0
X000026,Current account,50938,Male,23,Married,High school,Part-time,no,no,0
X000027,Salary account,59363,Male,25,Married,Secondary school,House help,yes,no,0
X000028,Salary account,49660,Female,32,Married,Vocational degree,Services,no,no,0
X000029,Current account,50590,Female,46,Single,High school,Part-time,no,no,0
X000030,Current account,50890,Male,28,Married,Secondary school,Administration,unknown,no,0
X000031,Current account,230933,Female,26,Married,Primary school,Administration,no,no,0
X000032,Savings account,49336,Male,35,Married,Primary school,Administration,yes,no,1
X000033,Salary account,100292,Male,31,Married,Vocational degree,Student,no,no,0
X000034,Current account,500959,Female,54,Married,Primary school,Administration,yes,no,0
X000035,Salary account,500109,Male,58,Divorced,College degree,Entreprenuer,no,no,0
X000036,Current account,159555,Male,31,Married,Primary school,Administration,yes,no,0
X000037,Current account,279553,Male,42,Married,High school,House help,no,no,0
X000038,Current account,60517,Female,24,Married,High school,Part-time,yes,no,0
X000039,Salary account,49361,Male,27,Married,unknown,Unemployed,yes,yes,0
X000040,Current account,280104,Male,33,Married,Secondary school,Part-time,yes,no,0
X000041,Salary account,360151,Male,33,unknown,Vocational degree,Technician,yes,yes,0
X000042,Current account,70154,Female,24,Married,College degree,Management,yes,no,0
X000043,Current account,10174,Male,24,Single,High school,Part-time,no,no,0
X000044,Current account,139018,Female,39,Married,Primary school,Administration,no,no,0
X000045,Current account,39064,Female,31,Married,Primary school,Administration,yes,no,0
X000046,Savings account,209267,Male,28,Single,Primary school,Administration,no,no,0
X000047,Salary account,19224,Female,20,Married,College degree,Technician,yes,yes,0
X000048,Salary account,150957,Male,45,Married,High school,Entreprenuer,no,no,0
X000049,Current account,380740,Male,32,Married,College degree,Management,yes,no,0
X000050,Salary account,20134,Male,22,Married,unknown,Technician,yes,yes,0
X000051,Salary account,70651,Male,44,Married,unknown,Technician,no,yes,1
X000052,Salary account,100316,Female,41,Married,unknown,unemployed,no,yes,0
X000053,Salary account,309345,Female,51,Married,Vocational degree,Technician,no,no,0
X000054,Salary account,180776,Female,25,Single,Vocational degree,Technician,no,yes,0
X000055,Current account,150253,Female,30,Married,High school,Business owner,no,no,0
X000056,Current account,499113,Female,43,Married,High school,Part-time,yes,no,0
X000057,Savings account,180421,Female,36,Married,College degree,Management,no,no,0
X000058,Savings account,179982,Female,32,Married,College degree,Retired,yes,no,0
X000059,Current account,199797,Female,36,Married,High school,House help,yes,no,0
X000060,Current account,399447,Female,30,Single,High school,House help,yes,no,0
X000061,Salary account,499049,Female,26,Married,High school,Services,no,unknown,0
X000062,Current account,70083,Male,37,Married,Secondary school,Part-time,yes,no,0
X000063,Salary account,50688,Male,28,Married,unknown,Technician,yes,yes,1
X000064,Salary account,49785,Female,48,Married,College degree,Technician,no,yes,1
X000065,Current account,130446,Female,49,Married,Primary school,Administration,no,no,0
X000066,Salary account,200321,Male,57,Married,College degree,Entreprenuer,no,no,0
X000067,Savings account,9464,Male,55,Single,Primary school,Administration,yes,no,0
X000068,Salary account,210278,Female,29,Married,College degree,Entreprenuer,,no,1
X000069,Current account,,Female,30,Married,Primary school,Administration,yes,no,0
X000070,Salary account,19190,Male,24,Single,Vocational degree,Technician,yes,no,0
X000071,Salary account,80802,Male,29,Married,Vocational degree,Technician,no,no,0
X000072,Salary account,320898,Male,31,Divorced,High school,Services,yes,no,1
X000073,Salary account,199308,Female,33,Married,unknown,unemployed,yes,yes,0
X000074,Current account,289474,Female,38,Married,Secondary school,Administration,no,no,0
X000075,Current account,339628,Male,34,Married,High school,Part-time,yes,no,0
X000076,Current account,19767,Male,26,Divorced,Secondary school,Part-time,yes,no,0
X000077,Current account,50007,Male,24,Married,High school,Business owner,no,no,0
